Date,Not indexed,Indexed,Impressions
2025-10-20,,,1
2025-10-21,,,3
2025-10-22,,,1
2025-10-23,,,1
2025-10-24,21,7,17
2025-10-25,21,19,5
2025-10-26,21,19,4
2025-10-27,21,19,7
2025-10-28,20,26,3
2025-10-29,20,26,0
2025-10-30,20,26,1
2025-10-31,20,26,5
2025-11-01,20,26,4
2025-11-02,20,26,6
2025-11-03,20,26,7
2025-11-04,19,32,4
2025-11-05,19,32,3
2025-11-06,19,32,3
2025-11-07,19,32,4
2025-11-08,23,38,6
2025-11-09,23,38,6
2025-11-10,23,38,16
2025-11-11,24,39,22
2025-11-12,24,39,4
2025-11-13,24,39,5
2025-11-14,24,39,8
2025-11-15,25,39,3
2025-11-16,25,39,5
2025-11-17,25,39,10