Country,Clicks,Impressions,CTR,Position
United States,9,174,5.17%,18.95
India,2,17,11.76%,4.47
Pakistan,2,10,20%,3.8
Indonesia,2,5,40%,10
Bangladesh,1,4,25%,6
Macau,1,2,50%,1
Turkey,1,2,50%,1
France,1,2,50%,1.5
Slovenia,1,2,50%,2.5
United Kingdom,0,7,0%,46.57
Brazil,0,4,0%,7.5
Belarus,0,2,0%,1
Latvia,0,2,0%,2
Algeria,0,2,0%,8
Malaysia,0,1,0%,1
Nepal,0,1,0%,1
Romania,0,1,0%,1
Russia,0,1,0%,1
South Africa,0,1,0%,1
China,0,1,0%,2
Colombia,0,1,0%,2
Poland,0,1,0%,2
Australia,0,1,0%,5
Canada,0,1,0%,5
Ukraine,0,1,0%,5
New Zealand,0,1,0%,6
Iran,0,1,0%,9
Germany,0,1,0%,14
Jordan,0,1,0%,23